日期和時間,當下車速(公里/小時),未來車速(公里/小時)
970203 0000,88.2227,89.0733
970203 0005,89.0733,86.6832
970203 0010,86.6832,81.0792
970203 0015,81.0792,87.5988
970203 0020,87.5988,83.6585
970203 0025,83.6585,85.3147
970203 0030,85.3147,84.8814
970203 0035,84.8814,86.205
970203 0040,86.205,88.0797
970203 0045,88.0797,86.8939
970203 0050,86.8939,86.8939
970203 0055,86.8939,87.9057
970203 0100,87.9057,90.0821
970203 0105,90.0821,87.1429
970203 0110,87.1429,87.5133
970203 0115,87.5133,88.6076
970203 0120,88.6076,88.2766
970203 0125,88.2766,88.5732
970203 0130,88.5732,84.9339
970203 0135,84.9339,88.1579
970203 0140,88.1579,89.4314
970203 0145,89.4314,85.64
970203 0150,85.64,85.64
970203 0155,85.64,86.5056
970203 0200,86.5056,89.9818
970203 0205,89.9818,90.988
970203 0210,90.988,87.5714
970203 0215,87.5714,88.1923
970203 0220,88.1923,89.0714
970203 0225,89.0714,89.3333
970203 0230,89.3333,89.6395
970203 0235,89.6395,88.4348
970203 0240,88.4348,92.0864
970203 0245,92.0864,88.1733
970203 0250,88.1733,88.1733
970203 0255,88.1733,87.5
970203 0300,87.5,85.6081
970203 0305,85.6081,91.3607
970203 0310,91.3607,88.6441
970203 0315,88.6441,87.9844
970203 0320,87.9844,89.7
970203 0325,89.7,91.1786
970203 0330,91.1786,89.0588
970203 0335,89.0588,89.0667
970203 0340,89.0667,93.3243
970203 0345,93.3243,89.2174
970203 0350,89.2174,89.2174
970203 0355,89.2174,90.907
970203 0400,90.907,88.625
970203 0405,88.625,91.0294
970203 0410,91.0294,85.5172
970203 0415,85.5172,88.6724
970203 0420,88.6724,91.7872
970203 0425,91.7872,92.8958
970203 0430,92.8958,91.3
970203 0435,91.3,89.0784
970203 0440,89.0784,89.1333
970203 0445,89.1333,92.8974
970203 0450,92.8974,92.8974
970203 0455,92.8974,89.56
970203 0500,89.56,89.1
970203 0505,89.1,89.25
970203 0510,89.25,81.6333
970203 0515,81.6333,89.36
970203 0520,89.36,87.3929
970203 0525,87.3929,88.2419
970203 0530,88.2419,90.5556
970203 0535,90.5556,89.4324
970203 0540,89.4324,90.6438
970203 0545,90.6438,88.3425
970203 0550,88.3425,88.3425
970203 0555,88.3425,89.0833
970203 0600,89.0833,87.6495
970203 0605,87.6495,87.8738
970203 0610,87.8738,89.5204
970203 0615,89.5204,88.8722
970203 0620,88.8722,85.7619
970203 0625,85.7619,89.8537
970203 0630,89.8537,88.7267
970203 0635,88.7267,90.034
970203 0640,90.034,87.5761
970203 0645,87.5761,89.4171
970203 0650,89.4171,89.4171
970203 0655,89.4171,85.3956
970203 0700,85.3956,89.1017
970203 0705,89.1017,81.6186
970203 0710,81.6186,86.6049
970203 0715,86.6049,88.7892
970203 0720,88.7892,82.2426
970203 0725,82.2426,85.6934
970203 0730,85.6934,80.3142
970203 0735,80.3142,85.9434
970203 0740,85.9434,88.2218
970203 0745,88.2218,86.4564
970203 0750,86.4564,86.4564
970203 0755,86.4564,86.9091
970203 0800,86.9091,78.8421
970203 0805,78.8421,85.0635
970203 0810,85.0635,85.8471
970203 0815,85.8471,89.5746
970203 0820,89.5746,82.219
970203 0825,82.219,88.3402
970203 0830,88.3402,86.7741
970203 0835,86.7741,88.8726
970203 0840,88.8726,84.8445
970203 0845,84.8445,83.8189
970203 0850,83.8189,83.8189
970203 0855,83.8189,87.5305
970203 0900,87.5305,83.1331
970203 0905,83.1331,85.8826
970203 0910,85.8826,87.345
970203 0915,87.345,82.8635
970203 0920,82.8635,87.7098
970203 0925,87.7098,85.2012
970203 0930,85.2012,88.3946
970203 0935,88.3946,84.7339
