日期和時間,流量(車輛/小時),車速(公里/小時),密度(車輛/公里)
970203 0000,2964,88.2227,8.3992
970203 0005,2292,89.0733,6.4329
970203 0010,2424,86.6832,6.991
970203 0015,3180,81.0792,9.8052
970203 0020,2064,87.5988,5.8905
970203 0025,2460,83.6585,7.3513
970203 0030,2364,85.3147,6.9273
970203 0035,2328,84.8814,6.8566
970203 0040,1932,86.205,5.6029
970203 0045,1656,88.0797,4.7003
970203 0050,1584,86.8939,4.5573
970203 0055,1584,86.8939,4.5573
970203 0100,1272,87.9057,3.6175
970203 0105,1608,90.0821,4.4626
970203 0110,1260,87.1429,3.6148
970203 0115,1356,87.5133,3.8737
970203 0120,948,88.6076,2.6747
970203 0125,1128,88.2766,3.1945
970203 0130,984,88.5732,2.7774
970203 0135,1452,84.9339,4.2739
970203 0140,1140,88.1579,3.2328
970203 0145,1224,89.4314,3.4216
970203 0150,1200,85.64,3.503
970203 0155,1200,85.64,3.503
970203 0200,1068,86.5056,3.0865
970203 0205,1320,89.9818,3.6674
970203 0210,996,90.988,2.7366
970203 0215,924,87.5714,2.6378
970203 0220,936,88.1923,2.6533
970203 0225,1176,89.0714,3.3007
970203 0230,720,89.3333,2.0149
970203 0235,1032,89.6395,2.8782
970203 0240,828,88.4348,2.3407
970203 0245,972,92.0864,2.6388
970203 0250,900,88.1733,2.5518
970203 0255,900,88.1733,2.5518
970203 0300,1008,87.5,2.88
970203 0305,888,85.6081,2.5932
970203 0310,732,91.3607,2.0031
970203 0315,708,88.6441,1.9967
970203 0320,768,87.9844,2.1822
970203 0325,720,89.7,2.0067
970203 0330,672,91.1786,1.8425
970203 0335,408,89.0588,1.1453
970203 0340,540,89.0667,1.5157
970203 0345,444,93.3243,1.1894
970203 0350,552,89.2174,1.5468
970203 0355,552,89.2174,1.5468
970203 0400,516,90.907,1.419
970203 0405,480,88.625,1.354
970203 0410,408,91.0294,1.1205
970203 0415,696,85.5172,2.0347
970203 0420,696,88.6724,1.9623
970203 0425,564,91.7872,1.5362
970203 0430,576,92.8958,1.5501
970203 0435,720,91.3,1.9715
970203 0440,612,89.0784,1.7176
970203 0445,540,89.1333,1.5146
970203 0450,468,92.8974,1.2595
970203 0455,468,92.8974,1.2595
970203 0500,600,89.56,1.6749
970203 0505,720,89.1,2.0202
970203 0510,768,89.25,2.1513
970203 0515,720,81.6333,2.205
970203 0520,600,89.36,1.6786
970203 0525,672,87.3929,1.9224
970203 0530,744,88.2419,2.1078
970203 0535,972,90.5556,2.6834
970203 0540,888,89.4324,2.4823
970203 0545,876,90.6438,2.416
970203 0550,876,88.3425,2.479
970203 0555,876,88.3425,2.479
970203 0600,1152,89.0833,3.2329
970203 0605,1164,87.6495,3.32
970203 0610,1236,87.8738,3.5164
970203 0615,1176,89.5204,3.2842
970203 0620,1596,88.8722,4.4896
970203 0625,1512,85.7619,4.4076
970203 0630,1476,89.8537,4.1067
970203 0635,1932,88.7267,5.4437
970203 0640,1764,90.034,4.8981
970203 0645,2208,87.5761,6.3031
970203 0650,2100,89.4171,5.8714
970203 0655,2100,89.4171,5.8714
970203 0700,2700,85.3956,7.9044
970203 0705,2124,89.1017,5.9595
970203 0710,2580,81.6186,7.9026
970203 0715,2916,86.6049,8.4175
970203 0720,2676,88.7892,7.5347
970203 0725,2820,82.2426,8.5722
970203 0730,3288,85.6934,9.5923
970203 0735,3552,80.3142,11.0566
970203 0740,3180,85.9434,9.2503
970203 0745,2976,88.2218,8.4333
970203 0750,2892,86.4564,8.3626
970203 0755,2892,86.4564,8.3626
970203 0800,2772,86.9091,7.9738
970203 0805,3192,78.8421,10.1215
970203 0810,3024,85.0635,8.8875
970203 0815,3060,85.8471,8.9112
970203 0820,2736,89.5746,7.6361
970203 0825,2904,82.219,8.8301
970203 0830,2928,88.3402,8.2862
970203 0835,3240,86.7741,9.3346
970203 0840,3108,88.8726,8.7429
970203 0845,2856,84.8445,8.4154
970203 0850,2916,83.8189,8.6973
970203 0855,2916,83.8189,8.6973
970203 0900,3144,87.5305,8.9797
970203 0905,3516,83.1331,10.5734
970203 0910,3576,85.8826,10.4096
970203 0915,3096,87.345,8.8614
970203 0920,3780,82.8635,11.4043
970203 0925,3432,87.7098,9.7823
970203 0930,3876,85.2012,11.3731
970203 0935,3588,88.3946,10.1477
970203 0940,4104,84.7339,12.1085
970203 0945,3744,87.9551,10.6418
970203 0950,3768,87.3631,10.7826
970203 0955,3768,87.3631,10.7826
970203 1000,4536,83.2302,13.6249
970203 1005,3600,89.0633,10.1052
970203 1010,4092,86.4868,11.8284
970203 1015,3660,89.8164,10.1874
970203 1020,4368,82.3736,13.2567
970203 1025,4284,79.5686,13.4601
970203 1030,4188,84.9054,12.3314
970203 1035,4536,82.9577,13.6696
970203 1040,4584,81.4503,14.0699
970203 1045,4680,85.041,13.7581
970203 1050,4200,84.9829,12.3554
970203 1055,4200,84.9829,12.3554
970203 1100,5424,81.4912,16.6398
970203 1105,4452,83.841,13.2751
970203 1110,5052,80.4252,15.704
970203 1115,4488,77.4626,14.4844
970203 1120,4128,75.7413,13.6253
970203 1125,3528,87.7041,10.0565
970203 1130,2976,90.4032,8.2298
970203 1135,3336,90.4892,9.2166
970203 1140,3420,89.7088,9.5308
